byline,TAG,TAG,TAG,TAG
@suttonnick,M,PI,Journalism,
@nickeardley,M,PI,Journalism,
@NicholasTyrone,M,PI,thinktank,
@NicoHines,M,PI,Journalism,
@NigelNelson,M,PI,Journalism,
@BBCNormanS,M,PI,Journalism,
@OliverCooper,M,PI,Journalism,
@OllyGrender,F,PI,publicrelations,libdem
@Oona_King,F,PI,Journalism,
@OwenJones84,M,PI,Journalism,
@patrickwintour,M,PI,Journalism,
@PatJHennessy,M,PI,publicrelations,Labour
@oflynnmep,M,PI,MEP,UKIP
@paulwaugh,M,PI,Journalism,
@paulmasonnews,M,PI,Journalism,
@PaulLewis,M,PI,Journalism,
@PaulGoodmanCH,M,PI,Journalism,
@paulnuttallukip,M,PI,MEP,UKIP
@Labourpaul,M,PI,Writer,
@GuidoFawkes,M,PI,Blogging,
@PaulTwinn,M,PI,Journalism,
@OborneTweets,M,PI,Journalism,
@TheRedRag,M,PI,Blogging,
@Redpeter99,M,PI,Blogging,
@BBCPeterH,M,PI,Journalism,
@philbc3,M,PI,Blogging,
@LordPhiloBrum,M,PI,Peer,Labour
@philipjcowley,M,PI,Academic,
@Schofe,M,PI,Journalism,
@Phillip_Blond,M,PI,thinktank,
@PippaCrerar,F,PI,Journalism,
@pollytoynbee,F,PI,Journalism,
@pollycurtis,F,PI,Journalism,
@rafaelbehr,M,PI,Journalism,
@richardbacon,M,PI,Journalism,
@Rob_Merrick,M,PI,Journalism,
@robfordmancs,M,PI,Academic,
@RobbieGib,M,PI,Journalism,
@RobNisbetSky,M,PI,Journalism,
@Peston,M,PI,Journalism,
@RobDotHutton,M,PI,Journalism,
@bobbyllew,M,PI,Comedian,
@robertshrimsley,M,PI,Journalism,
@rcolvile,M,PI,Journalism,
@robinbrant,M,PI,Journalism,
@RobinBew,M,PI,Journalism,
@RosamundUrwin,F,PI,Journalism,
@rosscolquhoun,M,PI,Artist NGO,
@rosschawkins,M,PI,Journalism,
@rowenamason,F,PI,Journalism,
@RufusHound,M,PI,Comedian,
@rustyrockets,M,PI,Comedian,
@MrRBourne,M,PI,thinktank,
@Samfr,M,PI,Education,
@SamCoatesTimes,M,PI,Journalism,
@SkySamantha,F,PI,Journalism,
@SamiraAhmedUK,F,PI,Journalism,
@SamuelCoates,M,PI,publicrelations,
@SarahBrownUK,F,PI,NGO,
@SarahVine,F,PI,Journalism,
@SayeedaWarsi,F,PI,Law,Conservative
@cripeswatson,M,PI,Journalism,
@seandilley,M,PI,Journalism,
@Sean_Kemp,M,PI,publicrelations,
@SebastianEPayne,M,PI,Journalism,
@shivmalik,M,PI,Journalism,
@higherbaker,M,PI,Journalism,
@Simon_Nixon,M,PI,Journalism,
@simonmayo,M,PI,Journalism,
@sionsimon,M,PI,MEP,Labour
@UndercoverMutha,F,PI,Barrister,
@SophyRidgeSky,F,PI,Journalism,
@stefanstern,M,PI,Journalism,
@MyStephanomics,F,PI,Business,
@StephenNolan,M,PI,Journalism,
@stephentall,M,PI,Politician,
@stephenpollard,M,PI,Journalism,
@stephenkb,M,PI,Journalism,
@steverichards14,M,PI,Journalism,
@StewartWood,M,PI,Peer,Labour
@stuartmillar159,M,PI,Journalism,
@sundersays,M,PI,thinktank,
@sunny_hundal,M,PI,Journalism,
@susannareid100,F,PI,Journalism,
@fleetstreetfox,F,PI,Journalism,
@TheoPaphitis,M,PI,Business,
@TimReidBBC,M,PI,Journalism,
@Itwitius,M,PI,Journalism,
@montie,M,PI,Journalism,
@ShippersUnbound,M,PI,Journalism,
@bloggerheads,M,PI,Blogging,
@tobyhelm,M,PI,Journalism,
@toadmeister,M,PI,Journalism,
@tombradby,M,PI,Journalism,
@tnewtondunn,M,PI,Journalism,
@moseleytom,M,PI,Journalism,
@portraitinflesh,M,PI,Journalism,
@tomsymonds,M,PI,Journalism,
@guardian_clark,M,PI,Journalism,
@ayestotheright,M,PI,Journalism,
@Torcuil,M,PI,Journalism,
@umairh,M,PI,Writer,
@vicderbyshire,F,PI,Journalism,
@vincentmoss,M,PI,Journalism,
